x,y,z
0.000000000000000000e+00,7.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.250000000000000666e-01,-0.000000000000000000e+00
0.000000000000000000e+00,8.250000000000000666e-01,-0.000000000000000000e+00
0.000000000000000000e+00,8.250000000000000666e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.250000000000000666e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000222e-01,-0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000222e-01,-0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000222e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000222e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.750000000000000888e-01,-0.000000000000000000e+00
0.000000000000000000e+00,9.750000000000000888e-01,-0.000000000000000000e+00
0.000000000000000000e+00,9.750000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.750000000000000888e-01,0.000000000000000000e+00
6.000000000000000125e-03,0.000000000000000000e+00,-4.265622819141750253e-03
6.000000000000000125e-03,0.000000000000000000e+00,-1.706249127656699624e-03
6.000000000000000125e-03,0.000000000000000000e+00,8.531245638283507880e-04
6.000000000000000125e-03,0.000000000000000000e+00,3.412498255313400550e-03
5.850000000000000165e-03,7.500000000000001110e-02,-4.158982248663206649e-03
5.850000000000000165e-03,7.500000000000001110e-02,-1.663592899465282183e-03
5.850000000000000165e-03,7.500000000000001110e-02,8.317964497326420670e-04
5.850000000000000165e-03,7.500000000000001110e-02,3.327185798930565666e-03
5.700000000000000205e-03,1.500000000000000222e-01,-4.052341678184663044e-03
5.700000000000000205e-03,1.500000000000000222e-01,-1.620936671273864958e-03
5.700000000000000205e-03,1.500000000000000222e-01,8.104683356369333461e-04
5.700000000000000205e-03,1.500000000000000222e-01,3.241873342547730782e-03
5.550000000000000246e-03,2.250000000000000056e-01,-3.945701107706119440e-03
5.550000000000000246e-03,2.250000000000000056e-01,-1.578280443082447516e-03
5.550000000000000246e-03,2.250000000000000056e-01,7.891402215412246252e-04
5.550000000000000246e-03,2.250000000000000056e-01,3.156560886164895899e-03
5.400000000000000286e-03,3.000000000000000444e-01,-3.839060537227575835e-03
