time,root_z,tip_z
4.189999999999933,-0.0032703672441757514,-0.007721736230561149
4.194999999999933,-0.004203250947922352,-0.009373636026251093
4.199999999999933,-0.005123606996650912,-0.010994877254257018
4.204999999999933,-0.00602869245130265,-0.012581297736587163
4.2099999999999325,-0.006915809912896224,-0.014128801481200454
4.214999999999932,-0.007782315521731607,-0.01563346752737938
4.219999999999932,-0.008625626804776567,-0.01709164206562525
4.224999999999932,-0.009443230354707354,-0.018499992521701255
4.229999999999932,-0.010232689317814559,-0.01985551064140552
4.234999999999932,-0.01099165067070684,-0.02115546402962383
4.239999999999932,-0.011717852261229865,-0.022397308567787585
4.244999999999932,-0.012409129588089382,-0.023578584371706283
4.249999999999932,-0.013063422288338815,-0.024696825118848416
4.2549999999999315,-0.013678780298545822,-0.02574950785666159
4.259999999999931,-0.014253369664224174,-0.026734057494835557
4.264999999999931,-0.014785477986115158,-0.02764790358853976
4.269999999999931,-0.015273519495365788,-0.028488573025595206
4.274999999999931,-0.01571603974605134,-0.029253795741019023
4.279999999999931,-0.01611171991577552,-0.02994159675467604
4.284999999999931,-0.016459380714760278,-0.030550347912751064
4.289999999999931,-0.016757985902225683,-0.031078764786966685
4.294999999999931,-0.017006645396114205,-0.03152585123763227
4.2999999999999305,-0.01720461795692964,-0.03189080778321375
4.30499999999993,-0.017351313433876,-0.03217293141401016
4.30999999999993,-0.017446294554782343,-0.03237153512151937
4.31499999999993,-0.017489278241505125,-0.032485904893394306
4.31999999999993,-0.01748013645224586,-0.032515306496746034
4.32499999999993,-0.01741889654499665,-0.032459045350657974
4.32999999999993,-0.017305741162490288,-0.032316563956701655
4.33499999999993,-0.017141007652111205,-0.03208754891059878
4.33999999999993,-0.016925187032457552,-0.031772018051965153
4.34499999999993,-0.016658922517838716,-0.03137036453589232
4.3499999999999295,-0.016343007608476557,-0.030883347550968488
4.354999999999929,-0.015978383747022654,-0.03031203391724589
4.359999999999929,-0.015566137541303905,-0.02965770700269457
4.364999999999929,-0.015107497557994853,-0.028921767618765304
4.369999999999929,-0.014603830689550876,-0.02810565465317355
4.374999999999929,-0.014056638093498898,-0.027210810122251097
4.379999999999929,-0.013467550709786828,-0.026238699360631695
4.384999999999929,-0.012838324376220298,-0.025190878983327197
4.389999999999929,-0.012170834565079296,-0.024069094594139976
4.3949999999999285,-0.011467070761757995,-0.022875383687956843
4.399999999999928,-0.010729130510290279,-0.021612155894333768
4.404999999999928,-0.009959213150413695,-0.020282228372297328
4.409999999999928,-0.009159613269139704,-0.018888806199496316
4.414999999999928,-0.00833271388606832,-0.017435412476181786
4.419999999999928,-0.007480979383915972,-0.015925787977839865
4.424999999999928,-0.006606948195370566,-0.014363788285248336
4.429999999999928,-0.005713225260622042,-0.012753304616245449
4.434999999999928,-0.004802474273045207,-0.01109822753298985
4.439999999999928,-0.003877409733330094,-0.009402462800015953
4.4449999999999275,-0.0029407888360842346,-0.0076699947495812194
4.449999999999927,-0.0019954032190198107,-0.005904977545532532
4.454999999999927,-0.0010440706095947222,-0.004111826136791884
4.459999999999927,-8.962640420135512e-5,-0.002295279605974926
4.464999999999927,0.0008650847895015725,-0.00046041766715681386
4.469999999999927,0.0018172176215337,0.0013873764215784389
4.474999999999927,0.002763934456762346,0.0032424995942201564
4.479999999999927,0.003702413799822989,0.005099240933022119
4.484999999999927,0.004629858671531736,0.006951895194600478
4.4899999999999265,0.005543504922851088,0.008794849887853843
4.494999999999926,0.006440629467305403,0.010622626052820388
4.499999999999926,0.007318558406456676,0.012429866474120458
4.504999999999926,0.008174675026250473,0.014211281328705421
4.509999999999926,0.009006427629482613,0.01596157168814258
4.514999999999926,0.00981133716642143,0.0176753525376
4.519999999999926,0.010587004643371301,0.019347100612821914
4.524999999999926,0.011331118280010082,0.020971150131386947
4.529999999999926,0.012041460388113058,0.022541743957604027
4.5349999999999255,0.012715913955968708,0.024053130846557587
4.539999999999925,0.013352468926054677,0.025499686245667307
4.544999999999925,0.0139492281581018,0.02687602794301174
4.549999999999925,0.014504413068193583,0.02817710195836229
4.554999999999925,0.015016368927275113,0.029398222737916917
4.559999999999925,0.015483569801749916,0.030535062179731523
4.564999999999925,0.015904623123400997,0.03158359468522834
4.569999999999925,0.01627827387178993,0.03254001808717888
4.574999999999925,0.016603408344445354,0.033400679814327504
4.579999999999925,0.01687905749161714,0.034162035385747636
4.5849999999999245,0.017104399804653926,0.03482065361508855
4.589999999999924,0.017278763752912943,0.03537327102993205
4.594999999999924,0.017401629762487922,0.035816886530818166
4.599999999999924,0.017472631734387897,0.036148875284055304
4.604999999999924,0.017491558110053373,0.036367096855302754
4.609999999999924,0.017458352485997766,0.03646997189520536
4.614999999999924,0.017373113776035013,0.03645650442128066
4.619999999999924,0.017236095929362233,0.03632624674430181
4.624999999999924,0.017047707199511503,0.036079224255152816
4.6299999999999235,0.01680850895675721,0.0357158428477752
4.634999999999923,0.016519214042171815,0.03523680369225272
4.639999999999923,0.016180684660361995,0.03464304887059189
4.644999999999923,0.015793929813361276,0.0339357532056318
4.649999999999923,0.015360102283046472,0.0331163655404304
4.654999999999923,0.01488049517071168,0.03218668869492828
4.659999999999923,0.014356538009808902,0.03114897520969338
4.664999999999923,0.013789792476401063,0.030006010313470433
4.669999999999923,0.01318194771901551,0.02876115739532925
4.6749999999999226,0.012534815323263592,0.027418353755389598
4.6799999999999224,0.011850323924291304,0.02598205588808461
4.684999999999922,0.011130513483034473,0.02445714380672666
4.689999999999922,0.01037752923816883,0.02284880679423054
4.694999999999922,0.009593615340663057,0.021162439155913877
4.699999999999922,0.008781108182026272,0.019403570091458648
4.704999999999922,0.007942429430572674,0.017577841434629305
4.709999999999922,0.007080078798402294,0.015691033270155582
4.714999999999922,0.006196626567005469,0.01374912438847407
4.719999999999922,0.005294705896614481,0.011758365728477766
4.7249999999999215,0.004377004950549501,0.009725340968030148
4.729999999999921,0.0034462588673071885,0.007656990103613837
4.734999999999921,0.0025052416090136933,0.005560581239415732
4.739999999999921,0.0015567577104705005,0.003443631548558454
4.744999999999921,0.0006036339475208023,0.001313792907754361
4.749999999999921,-0.0003512890588650045,-0.0008212744315342941
4.754999999999921,-0.0013051652843026173,-0.0029540145236576646
4.759999999999921,-0.0022551517682224964,-0.00507705217438415
4.764999999999921,-0.003198417086983869,-0.007183219771491959
4.7699999999999205,-0.004132149809677694,-0.009265534494077104
4.77499999999992,-0.005053566905825204,-0.011317140225620395
4.77999999999992,-0.005959922070032941,-0.013331239073643596
4.78499999999992,-0.006848513930904184,-0.015301039266621668
4.78999999999992,-0.007716694115597861,-0.01721974047635727
4.79499999999992,-0.008561875142085937,-0.01908056779284667
4.79999999999992,-0.009381538113018537,-0.020876852402803583
4.80499999999992,-0.01017324019767523,-0.02260214611886826
4.80999999999992,-0.01093462188357823,-0.02425034603525667
4.81499999999992,-0.011663413977825901,-0.025815796458009483
4.8199999999999195,-0.012357444356448703,-0.027293345207725445
4.824999999999919,-0.013014644443788866,-0.028678348815115925
4.829999999999919,-0.01363305539599828,-0.029966631433673976
4.834999999999919,-0.014210833967365234,-0.031154412523625434
4.839999999999919,-0.014746258034839824,-0.032238225925280584
